Campaign,Ad Group,Keyword,Criterion Type,Final URL,Keyword Status
QRB | Search | Create DE,Dynamischer QR Generator,dynamischer qr code generator,Exact,https://qrbanner.com/de/qr/create?quick=1,Enabled
QRB | Search | Create DE,Dynamischer QR Generator,dynamischer qr code erstellen,Exact,https://qrbanner.com/de/qr/create?quick=1,Enabled
QRB | Search | Create DE,Dynamischer QR Generator,editierbarer qr code,Exact,https://qrbanner.com/de/qr/create?quick=1,Enabled
QRB | Search | Create DE,Dynamischer QR Generator,qr code generator mit tracking,Phrase,https://qrbanner.com/de/qr/create?quick=1,Enabled
QRB | Search | Create DE,Dynamischer QR Generator,kostenloser dynamischer qr code,Phrase,https://qrbanner.com/de/qr/create?quick=1,Enabled
QRB | Search | Create DE,Dynamischer QR Generator,qr code nach druck ändern,Phrase,https://qrbanner.com/de/qr/create?quick=1,Enabled
QRB | Search | Competitor DE,QR TIGER DE,qr tiger alternative,Exact,https://qrbanner.com/de/vs/qr-tiger,Enabled
QRB | Search | Competitor DE,QR TIGER DE,qr tiger vergleich,Exact,https://qrbanner.com/de/vs/qr-tiger,Enabled
QRB | Search | Competitor DE,QR TIGER DE,günstigere qr tiger alternative,Phrase,https://qrbanner.com/de/vs/qr-tiger,Enabled
QRB | Search | Use cases DE,Restaurant Menü DE,restaurant menü qr code,Exact,https://qrbanner.com/de/templates/restaurant-menu,Enabled
QRB | Search | Use cases DE,Restaurant Menü DE,digitale speisekarte qr,Exact,https://qrbanner.com/de/templates/restaurant-menu,Enabled
QRB | Search | Use cases DE,Restaurant Menü DE,menü qr code generator,Phrase,https://qrbanner.com/de/templates/restaurant-menu,Enabled
