Campaign,Keyword,Criterion Type,Keyword Status
QRB | Search | Create DE,kostenlos download,Negative broad,Enabled
QRB | Search | Create DE,nur vorlage,Negative broad,Enabled
QRB | Search | Create DE,png,Negative broad,Enabled
QRB | Search | Create DE,svg only,Negative broad,Enabled
QRB | Search | Create DE,statischer qr,Negative broad,Enabled
QRB | Search | Create DE,qr code reader,Negative broad,Enabled
QRB | Search | Create DE,qr scannen,Negative broad,Enabled
QRB | Search | Create DE,barcode,Negative broad,Enabled
QRB | Search | Create DE,minecraft,Negative broad,Enabled
QRB | Search | Create DE,fortnite,Negative broad,Enabled
QRB | Search | Create DE,spiel,Negative broad,Enabled
QRB | Search | Create DE,apk,Negative broad,Enabled
QRB | Search | Create DE,crack,Negative broad,Enabled
QRB | Search | Create DE,job,Negative broad,Enabled
QRB | Search | Create DE,gehalt,Negative broad,Enabled
QRB | Search | Create DE,was ist qr,Negative broad,Enabled
QRB | Search | Create DE,wikipedia,Negative broad,Enabled
QRB | Search | Competitor DE,kostenlos download,Negative broad,Enabled
QRB | Search | Competitor DE,nur vorlage,Negative broad,Enabled
QRB | Search | Competitor DE,png,Negative broad,Enabled
QRB | Search | Competitor DE,svg only,Negative broad,Enabled
QRB | Search | Competitor DE,statischer qr,Negative broad,Enabled
QRB | Search | Competitor DE,qr code reader,Negative broad,Enabled
QRB | Search | Competitor DE,qr scannen,Negative broad,Enabled
QRB | Search | Competitor DE,barcode,Negative broad,Enabled
QRB | Search | Competitor DE,minecraft,Negative broad,Enabled
QRB | Search | Competitor DE,fortnite,Negative broad,Enabled
QRB | Search | Competitor DE,spiel,Negative broad,Enabled
QRB | Search | Competitor DE,apk,Negative broad,Enabled
QRB | Search | Competitor DE,crack,Negative broad,Enabled
QRB | Search | Competitor DE,job,Negative broad,Enabled
QRB | Search | Competitor DE,gehalt,Negative broad,Enabled
QRB | Search | Competitor DE,was ist qr,Negative broad,Enabled
QRB | Search | Competitor DE,wikipedia,Negative broad,Enabled
QRB | Search | Use cases DE,kostenlos download,Negative broad,Enabled
QRB | Search | Use cases DE,nur vorlage,Negative broad,Enabled
QRB | Search | Use cases DE,png,Negative broad,Enabled
QRB | Search | Use cases DE,svg only,Negative broad,Enabled
QRB | Search | Use cases DE,statischer qr,Negative broad,Enabled
QRB | Search | Use cases DE,qr code reader,Negative broad,Enabled
QRB | Search | Use cases DE,qr scannen,Negative broad,Enabled
QRB | Search | Use cases DE,barcode,Negative broad,Enabled
QRB | Search | Use cases DE,minecraft,Negative broad,Enabled
QRB | Search | Use cases DE,fortnite,Negative broad,Enabled
QRB | Search | Use cases DE,spiel,Negative broad,Enabled
QRB | Search | Use cases DE,apk,Negative broad,Enabled
QRB | Search | Use cases DE,crack,Negative broad,Enabled
QRB | Search | Use cases DE,job,Negative broad,Enabled
QRB | Search | Use cases DE,gehalt,Negative broad,Enabled
QRB | Search | Use cases DE,was ist qr,Negative broad,Enabled
QRB | Search | Use cases DE,wikipedia,Negative broad,Enabled
