Campaign,Keyword,Criterion Type,Keyword Status
QRB | Search | Create ES,descarga gratis,Negative broad,Enabled
QRB | Search | Create ES,solo plantilla,Negative broad,Enabled
QRB | Search | Create ES,png,Negative broad,Enabled
QRB | Search | Create ES,svg only,Negative broad,Enabled
QRB | Search | Create ES,qr estático,Negative broad,Enabled
QRB | Search | Create ES,lector qr,Negative broad,Enabled
QRB | Search | Create ES,escanear qr,Negative broad,Enabled
QRB | Search | Create ES,código de barras,Negative broad,Enabled
QRB | Search | Create ES,minecraft,Negative broad,Enabled
QRB | Search | Create ES,fortnite,Negative broad,Enabled
QRB | Search | Create ES,juego,Negative broad,Enabled
QRB | Search | Create ES,apk,Negative broad,Enabled
QRB | Search | Create ES,crack,Negative broad,Enabled
QRB | Search | Create ES,empleo,Negative broad,Enabled
QRB | Search | Create ES,salario,Negative broad,Enabled
QRB | Search | Create ES,qué es un qr,Negative broad,Enabled
QRB | Search | Create ES,wikipedia,Negative broad,Enabled
QRB | Search | Competitor ES,descarga gratis,Negative broad,Enabled
QRB | Search | Competitor ES,solo plantilla,Negative broad,Enabled
QRB | Search | Competitor ES,png,Negative broad,Enabled
QRB | Search | Competitor ES,svg only,Negative broad,Enabled
QRB | Search | Competitor ES,qr estático,Negative broad,Enabled
QRB | Search | Competitor ES,lector qr,Negative broad,Enabled
QRB | Search | Competitor ES,escanear qr,Negative broad,Enabled
QRB | Search | Competitor ES,código de barras,Negative broad,Enabled
QRB | Search | Competitor ES,minecraft,Negative broad,Enabled
QRB | Search | Competitor ES,fortnite,Negative broad,Enabled
QRB | Search | Competitor ES,juego,Negative broad,Enabled
QRB | Search | Competitor ES,apk,Negative broad,Enabled
QRB | Search | Competitor ES,crack,Negative broad,Enabled
QRB | Search | Competitor ES,empleo,Negative broad,Enabled
QRB | Search | Competitor ES,salario,Negative broad,Enabled
QRB | Search | Competitor ES,qué es un qr,Negative broad,Enabled
QRB | Search | Competitor ES,wikipedia,Negative broad,Enabled
QRB | Search | Use cases ES,descarga gratis,Negative broad,Enabled
QRB | Search | Use cases ES,solo plantilla,Negative broad,Enabled
QRB | Search | Use cases ES,png,Negative broad,Enabled
QRB | Search | Use cases ES,svg only,Negative broad,Enabled
QRB | Search | Use cases ES,qr estático,Negative broad,Enabled
QRB | Search | Use cases ES,lector qr,Negative broad,Enabled
QRB | Search | Use cases ES,escanear qr,Negative broad,Enabled
QRB | Search | Use cases ES,código de barras,Negative broad,Enabled
QRB | Search | Use cases ES,minecraft,Negative broad,Enabled
QRB | Search | Use cases ES,fortnite,Negative broad,Enabled
QRB | Search | Use cases ES,juego,Negative broad,Enabled
QRB | Search | Use cases ES,apk,Negative broad,Enabled
QRB | Search | Use cases ES,crack,Negative broad,Enabled
QRB | Search | Use cases ES,empleo,Negative broad,Enabled
QRB | Search | Use cases ES,salario,Negative broad,Enabled
QRB | Search | Use cases ES,qué es un qr,Negative broad,Enabled
QRB | Search | Use cases ES,wikipedia,Negative broad,Enabled
