Campaign,Keyword,Criterion Type,Keyword Status
QRB | Search | Create TR,ücretsiz indir,Negative broad,Enabled
QRB | Search | Create TR,sadece şablon,Negative broad,Enabled
QRB | Search | Create TR,png,Negative broad,Enabled
QRB | Search | Create TR,svg only,Negative broad,Enabled
QRB | Search | Create TR,statik qr,Negative broad,Enabled
QRB | Search | Create TR,qr okuyucu,Negative broad,Enabled
QRB | Search | Create TR,qr tara,Negative broad,Enabled
QRB | Search | Create TR,barkod,Negative broad,Enabled
QRB | Search | Create TR,minecraft,Negative broad,Enabled
QRB | Search | Create TR,fortnite,Negative broad,Enabled
QRB | Search | Create TR,oyun,Negative broad,Enabled
QRB | Search | Create TR,apk,Negative broad,Enabled
QRB | Search | Create TR,crack,Negative broad,Enabled
QRB | Search | Create TR,iş ilanı,Negative broad,Enabled
QRB | Search | Create TR,maaş,Negative broad,Enabled
QRB | Search | Create TR,qr nedir,Negative broad,Enabled
QRB | Search | Create TR,wikipedia,Negative broad,Enabled
QRB | Search | Competitor TR,ücretsiz indir,Negative broad,Enabled
QRB | Search | Competitor TR,sadece şablon,Negative broad,Enabled
QRB | Search | Competitor TR,png,Negative broad,Enabled
QRB | Search | Competitor TR,svg only,Negative broad,Enabled
QRB | Search | Competitor TR,statik qr,Negative broad,Enabled
QRB | Search | Competitor TR,qr okuyucu,Negative broad,Enabled
QRB | Search | Competitor TR,qr tara,Negative broad,Enabled
QRB | Search | Competitor TR,barkod,Negative broad,Enabled
QRB | Search | Competitor TR,minecraft,Negative broad,Enabled
QRB | Search | Competitor TR,fortnite,Negative broad,Enabled
QRB | Search | Competitor TR,oyun,Negative broad,Enabled
QRB | Search | Competitor TR,apk,Negative broad,Enabled
QRB | Search | Competitor TR,crack,Negative broad,Enabled
QRB | Search | Competitor TR,iş ilanı,Negative broad,Enabled
QRB | Search | Competitor TR,maaş,Negative broad,Enabled
QRB | Search | Competitor TR,qr nedir,Negative broad,Enabled
QRB | Search | Competitor TR,wikipedia,Negative broad,Enabled
QRB | Search | Use cases TR,ücretsiz indir,Negative broad,Enabled
QRB | Search | Use cases TR,sadece şablon,Negative broad,Enabled
QRB | Search | Use cases TR,png,Negative broad,Enabled
QRB | Search | Use cases TR,svg only,Negative broad,Enabled
QRB | Search | Use cases TR,statik qr,Negative broad,Enabled
QRB | Search | Use cases TR,qr okuyucu,Negative broad,Enabled
QRB | Search | Use cases TR,qr tara,Negative broad,Enabled
QRB | Search | Use cases TR,barkod,Negative broad,Enabled
QRB | Search | Use cases TR,minecraft,Negative broad,Enabled
QRB | Search | Use cases TR,fortnite,Negative broad,Enabled
QRB | Search | Use cases TR,oyun,Negative broad,Enabled
QRB | Search | Use cases TR,apk,Negative broad,Enabled
QRB | Search | Use cases TR,crack,Negative broad,Enabled
QRB | Search | Use cases TR,iş ilanı,Negative broad,Enabled
QRB | Search | Use cases TR,maaş,Negative broad,Enabled
QRB | Search | Use cases TR,qr nedir,Negative broad,Enabled
QRB | Search | Use cases TR,wikipedia,Negative broad,Enabled
