Campaign,Link Text,Final URL,Description Line 1,Description Line 2
QRB | Search | Create TR,Fiyatlandırma,https://qrbanner.com/tr/pricing,Ücretsiz plandan başla,Pro $9.99/ay'dan
QRB | Search | Create TR,Özellikler,https://qrbanner.com/tr/features,Dinamik QR araçları,Analitik ve yönlendirme
QRB | Search | Create TR,Şablonlar,https://qrbanner.com/tr/templates,37+ sektör şablonu,"Menü, WiFi, kart"
QRB | Search | Create TR,vs QR TIGER,https://qrbanner.com/tr/vs/qr-tiger,Yan yana karşılaştır,Ücretsiz ve API
QRB | Search | Competitor TR,Fiyatlandırma,https://qrbanner.com/tr/pricing,Ücretsiz plandan başla,Pro $9.99/ay'dan
QRB | Search | Competitor TR,Özellikler,https://qrbanner.com/tr/features,Dinamik QR araçları,Analitik ve yönlendirme
QRB | Search | Competitor TR,Şablonlar,https://qrbanner.com/tr/templates,37+ sektör şablonu,"Menü, WiFi, kart"
QRB | Search | Competitor TR,vs QR TIGER,https://qrbanner.com/tr/vs/qr-tiger,Yan yana karşılaştır,Ücretsiz ve API
QRB | Search | Use cases TR,Fiyatlandırma,https://qrbanner.com/tr/pricing,Ücretsiz plandan başla,Pro $9.99/ay'dan
QRB | Search | Use cases TR,Özellikler,https://qrbanner.com/tr/features,Dinamik QR araçları,Analitik ve yönlendirme
QRB | Search | Use cases TR,Şablonlar,https://qrbanner.com/tr/templates,37+ sektör şablonu,"Menü, WiFi, kart"
QRB | Search | Use cases TR,vs QR TIGER,https://qrbanner.com/tr/vs/qr-tiger,Yan yana karşılaştır,Ücretsiz ve API
