Campaign,Ad Group,Keyword,Criterion Type,Final URL,Keyword Status
QRB | Search | Create,Dynamic QR generator,dynamic qr code generator,Exact,https://qrbanner.com/qr/create?quick=1,Enabled
QRB | Search | Create,Dynamic QR generator,dynamic qr code maker,Exact,https://qrbanner.com/qr/create?quick=1,Enabled
QRB | Search | Create,Dynamic QR generator,editable qr code,Exact,https://qrbanner.com/qr/create?quick=1,Enabled
QRB | Search | Create,Dynamic QR generator,qr code you can change after printing,Exact,https://qrbanner.com/qr/create?quick=1,Enabled
QRB | Search | Create,Dynamic QR generator,dynamic qr code generator,Phrase,https://qrbanner.com/qr/create?quick=1,Enabled
QRB | Search | Create,Dynamic QR generator,dynamic qr code with analytics,Phrase,https://qrbanner.com/qr/create?quick=1,Enabled
QRB | Search | Create,Dynamic QR generator,free dynamic qr code,Phrase,https://qrbanner.com/qr/create?quick=1,Enabled
QRB | Search | Create,Dynamic QR generator,qr code generator with analytics,Phrase,https://qrbanner.com/qr/create?quick=1,Enabled
QRB | Search | Create,Dynamic QR generator,qr code tracking software,Phrase,https://qrbanner.com/qr/create?quick=1,Enabled
QRB | Search | Create,Dynamic QR generator,create dynamic qr code,Phrase,https://qrbanner.com/qr/create?quick=1,Enabled
QRB | Search | Create,Free / signup,free qr code generator no signup,Exact,https://qrbanner.com/qr/create?quick=1,Enabled
QRB | Search | Create,Free / signup,free qr code generator,Phrase,https://qrbanner.com/qr/create?quick=1,Enabled
QRB | Search | Create,Free / signup,free qr code maker online,Phrase,https://qrbanner.com/qr/create?quick=1,Enabled
QRB | Search | Create,Free / signup,qr code generator free,Phrase,https://qrbanner.com/qr/create?quick=1,Enabled
QRB | Search | Create,Free / signup,make qr code without account,Phrase,https://qrbanner.com/qr/create?quick=1,Enabled
QRB | Search | Competitor,QR TIGER,qr tiger alternative,Exact,https://qrbanner.com/vs/qr-tiger,Enabled
QRB | Search | Competitor,QR TIGER,qr tiger vs,Exact,https://qrbanner.com/vs/qr-tiger,Enabled
QRB | Search | Competitor,QR TIGER,qr code tiger alternative,Phrase,https://qrbanner.com/vs/qr-tiger,Enabled
QRB | Search | Competitor,QR TIGER,cheaper than qr tiger,Phrase,https://qrbanner.com/vs/qr-tiger,Enabled
QRB | Search | Competitor,QR TIGER,qr tiger free alternative,Phrase,https://qrbanner.com/vs/qr-tiger,Enabled
QRB | Search | Competitor,Scanova,scanova alternative,Exact,https://qrbanner.com/vs/scanova,Enabled
QRB | Search | Competitor,Scanova,scanova alternative,Phrase,https://qrbanner.com/vs/scanova,Enabled
QRB | Search | Competitor,Bitly,bitly qr alternative,Exact,https://qrbanner.com/vs/bitly,Enabled
QRB | Search | Competitor,Bitly,bitly qr code alternative,Phrase,https://qrbanner.com/vs/bitly,Enabled
QRB | Search | Use cases,Restaurant menu,restaurant menu qr code,Exact,https://qrbanner.com/templates/restaurant-menu,Enabled
QRB | Search | Use cases,Restaurant menu,qr code for restaurant menu,Exact,https://qrbanner.com/templates/restaurant-menu,Enabled
QRB | Search | Use cases,Restaurant menu,digital menu qr code,Exact,https://qrbanner.com/templates/restaurant-menu,Enabled
QRB | Search | Use cases,Restaurant menu,restaurant qr code generator,Phrase,https://qrbanner.com/templates/restaurant-menu,Enabled
QRB | Search | Use cases,Restaurant menu,menu qr code with analytics,Phrase,https://qrbanner.com/templates/restaurant-menu,Enabled
QRB | Search | Use cases,Business / WiFi / reviews,business card qr code,Exact,https://qrbanner.com/qr/create?quick=1,Enabled
QRB | Search | Use cases,Business / WiFi / reviews,wifi qr code generator,Exact,https://qrbanner.com/qr/create?quick=1,Enabled
QRB | Search | Use cases,Business / WiFi / reviews,google review qr code,Exact,https://qrbanner.com/qr/create?quick=1,Enabled
QRB | Search | Use cases,Business / WiFi / reviews,qr code for google reviews,Phrase,https://qrbanner.com/qr/create?quick=1,Enabled
QRB | Search | Use cases,Business / WiFi / reviews,wifi qr code for guests,Phrase,https://qrbanner.com/qr/create?quick=1,Enabled
